Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,F435Wmag,F475Wmag,F555Wmag,F606Wmag,F625Wmag,F775Wmag,F814Wmag
4.9184e-05,-2.19174,10.00000,0.1000000015,1.1711064122,0.100,-2.782,3.5584,5.406,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.3e-16,0.00,7.463e-01,2.536e-01,1.798e-05,4.851e-06,4.400e-05,-1.000,1.000e-04,11.726,14.389,13.806,12.940,12.322,11.954,11.060,10.934
4.9184e-05,-2.19174,10.00000,0.1098214313,1.2482754908,0.109,-2.634,3.5738,5.357,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.85e-16,0.00,7.448e-01,2.551e-01,1.798e-05,4.851e-06,4.400e-05,-1.000,1.000e-04,11.354,13.766,13.222,12.435,11.854,11.500,10.703,10.587
4.9184e-05,-2.19174,10.00000,0.1294642836,1.3786745408,0.129,-2.393,3.5963,5.278,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.25e-16,0.00,7.422e-01,2.577e-01,1.798e-05,4.851e-06,4.400e-05,-1.000,1.000e-04,10.752,12.832,12.335,11.649,11.144,10.822,10.111,10.007
4.9184e-05,-2.19174,10.00000,0.1491071582,1.4855959672,0.149,-2.231,3.6076,5.224,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.67e-16,0.00,7.405e-01,2.594e-01,1.798e-05,4.851e-06,4.400e-05,-1.000,9.996e-05,10.348,12.287,11.810,11.163,10.694,10.387,9.708,9.609
4.9184e-05,-2.19174,10.00000,0.1687500030,1.5756139920,0.168,-2.106,3.6150,5.181,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-6.17e-16,0.00,7.397e-01,2.602e-01,1.798e-05,4.851e-06,4.400e-05,-1.000,9.999e-05,10.034,11.888,11.423,10.800,10.350,10.054,9.393,9.297
4.9184e-05,-2.19174,10.00000,0.2080357224,1.7204495903,0.207,-1.902,3.6260,5.112,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-9.62e-16,0.00,7.392e-01,2.607e-01,1.798e-05,4.851e-06,4.400e-05,-1.000,1.000e-04,9.524,11.257,10.810,10.217,9.797,9.514,8.879,8.788
4.9184e-05,-2.19174,10.00000,0.2571428716,1.8581268277,0.257,-1.712,3.6360,5.055,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.43e-15,0.00,7.393e-01,2.606e-01,1.798e-05,4.852e-06,4.400e-05,-1.000,1.001e-04,9.049,10.679,10.247,9.679,9.283,9.011,8.400,8.313
4.9184e-05,-2.19174,10.00000,0.3062500358,1.9652636675,0.306,-1.565,3.6444,5.018,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-1.92e-15,0.00,7.394e-01,2.605e-01,1.797e-05,4.852e-06,4.400e-05,-1.000,1.000e-04,8.682,10.231,9.812,9.263,8.884,8.622,8.030,7.946
4.9184e-05,-2.19174,10.00000,0.3553571403,2.0521113302,0.355,-1.442,3.6522,4.991,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-2.44e-15,0.00,7.404e-01,2.595e-01,1.796e-05,4.853e-06,4.400e-05,-1.000,1.000e-04,8.375,9.851,9.444,8.913,8.549,8.295,7.719,7.638
4.9184e-05,-2.19174,10.00000,0.4044643044,2.1246090444,0.404,-1.324,3.6604,4.962,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-3.1e-15,0.00,7.502e-01,2.497e-01,1.798e-05,4.851e-06,4.400e-05,-1.000,9.993e-05,8.079,9.480,9.088,8.574,8.226,7.979,7.421,7.343
4.9184e-05,-2.19174,10.00000,0.4535714388,2.1864813481,0.453,-1.180,3.6734,4.920,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-4.27e-15,0.00,7.507e-01,2.492e-01,1.798e-05,4.851e-06,4.400e-05,-1.000,9.996e-05,7.721,9.007,8.640,8.154,7.829,7.594,7.063,6.990
4.9184e-05,-2.19174,10.00000,0.5026785731,2.2401984691,0.503,-1.021,3.6875,4.863,1,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-6.25e-15,0.00,7.523e-01,2.476e-01,1.788e-05,4.824e-06,4.375e-05,-1.000,9.996e-05,7.323,8.490,8.151,7.696,7.394,7.173,6.671,6.603
4.9184e-05,-2.19174,10.00000,0.5517857671,2.2851312492,0.551,-0.830,3.7060,4.786,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.01e-14,0.00,7.793e-01,2.206e-01,1.605e-05,4.332e-06,3.930e-05,-1.000,9.999e-05,6.846,7.869,7.569,7.154,6.880,6.675,6.211,6.149
4.9184e-05,-2.19174,10.00000,0.5857202411,2.3111709190,0.585,-0.694,3.7222,4.740,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.41e-14,0.00,7.868e-01,2.131e-01,1.556e-05,4.202e-06,3.813e-05,-1.000,9.999e-05,6.505,7.416,7.148,6.767,6.516,6.323,5.890,5.835
4.9184e-05,-2.19174,10.00000,0.6008928418,2.3217254164,0.600,-0.635,3.7292,4.721,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.63e-14,0.00,7.901e-01,2.098e-01,1.535e-05,4.145e-06,3.762e-05,-1.000,1.000e-04,6.359,7.225,6.971,6.603,6.361,6.174,5.754,5.700
4.9184e-05,-2.19174,10.00000,0.6122335196,2.3292226637,0.612,-0.588,3.7354,4.707,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-1.84e-14,0.00,7.933e-01,2.066e-01,1.514e-05,4.090e-06,3.713e-05,-1.000,9.997e-05,6.240,7.071,6.828,6.472,6.237,6.054,5.646,5.595
4.9184e-05,-2.19174,10.00000,0.6268575788,2.3384315207,0.627,-0.527,3.7435,4.688,1,0.000,0.544,0.00,0.00,0.00,0.00,0.00,-1,-2.13e-14,0.00,7.976e-01,2.023e-01,1.486e-05,4.015e-06,3.645e-05,-1.000,1.000e-04,6.088,6.874,6.644,6.303,6.078,5.902,5.509,5.459
4.9184e-05,-2.19174,10.00000,0.6399217844,2.3462501009,0.640,-0.472,3.7507,4.671,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-2.44e-14,0.00,8.018e-01,1.982e-01,1.460e-05,3.944e-06,3.582e-05,-1.000,8.047e-05,5.950,6.700,6.482,6.154,5.938,5.768,5.387,5.341
4.9184e-05,-2.19174,10.00000,0.6499999762,2.3520353107,0.650,-0.430,3.7563,4.657,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-2.71e-14,0.00,8.051e-01,1.948e-01,1.438e-05,3.886e-06,3.530e-05,-1.000,4.314e-05,5.844,6.566,6.357,6.040,5.831,5.665,5.294,5.249
4.9184e-05,-2.19174,10.00000,0.6578151584,2.3563814217,0.658,-0.396,3.7604,4.646,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-2.95e-14,0.00,8.084e-01,1.915e-01,1.417e-05,3.830e-06,3.479e-05,-1.000,1.000e-04,5.760,6.463,6.261,5.951,5.747,5.585,5.221,5.178
4.9184e-05,-2.19174,10.00000,0.6703730226,2.3631215241,0.670,-0.342,3.7670,4.626,1,0.000,0.543,0.00,0.00,0.00,0.00,0.00,-1,-3.39e-14,0.00,8.140e-01,1.859e-01,1.380e-05,3.734e-06,3.393e-05,-1.000,1.000e-04,5.625,6.300,6.108,5.809,5.613,5.455,5.103,5.061
4.9184e-05,-2.19174,10.00000,0.6827354431,2.3694789759,0.683,-0.288,3.7734,4.606,1,0.000,0.542,0.00,0.00,0.00,0.00,0.00,-1,-3.89e-14,0.00,8.200e-01,1.799e-01,1.342e-05,3.631e-06,3.301e-05,-1.000,9.999e-05,5.490,6.140,5.957,5.669,5.480,5.327,4.985,4.944
4.9184e-05,-2.19174,10.00000,0.6937190890,2.3749093271,0.694,-0.239,3.7789,4.586,1,0.000,0.542,0.00,0.00,0.00,0.00,0.00,-1,-4.42e-14,0.00,8.257e-01,1.742e-01,1.305e-05,3.534e-06,3.213e-05,-1.000,1.000e-04,5.368,5.998,5.822,5.544,5.360,5.211,4.877,4.838
4.9184e-05,-2.19174,10.00000,0.6999999881,2.3779266974,0.700,-0.211,3.7820,4.574,1,0.000,0.541,0.00,0.00,0.00,0.00,0.00,-1,-4.75e-14,0.00,8.291e-01,1.708e-01,1.283e-05,3.475e-06,3.160e-05,-1.000,1.000e-04,5.298,5.916,5.744,5.471,5.291,5.144,4.816,4.778
4.9184e-05,-2.19174,10.00000,0.7001399398,2.3779932221,0.700,-0.210,3.7821,4.574,1,0.000,0.541,0.00,0.00,0.00,0.00,0.00,-1,-4.76e-14,0.00,8.292e-01,1.707e-01,1.282e-05,3.474e-06,3.159e-05,-1.000,9.994e-05,5.296,5.914,5.743,5.470,5.289,5.142,4.814,4.776
4.9184e-05,-2.19174,10.00000,0.7127579451,2.3838678241,0.712,-0.152,3.7880,4.547,1,0.000,0.539,0.00,0.00,0.00,0.00,0.00,-1,-5.57e-14,0.00,8.363e-01,1.637e-01,1.237e-05,3.363e-06,3.062e-05,-1.000,7.498e-05,5.151,5.746,5.583,5.320,5.146,5.004,4.686,4.649
4.9184e-05,-2.19174,10.00000,0.7249027491,2.3893005615,0.725,-0.094,3.7935,4.518,1,0.000,0.536,0.00,0.00,0.00,0.00,0.00,-1,-6.52e-14,0.00,8.426e-01,1.573e-01,1.198e-05,3.269e-06,2.979e-05,-1.000,4.938e-05,5.006,5.580,5.424,5.171,5.003,4.865,4.556,4.521
4.9184e-05,-2.19174,10.00000,0.7357030511,2.3939589821,0.735,-0.040,3.7983,4.490,1,0.000,0.534,0.00,0.00,0.00,0.00,0.00,-1,-7.56e-14,0.00,8.477e-01,1.522e-01,1.168e-05,3.197e-06,2.916e-05,-1.000,6.302e-05,4.871,5.428,5.278,5.032,4.870,4.736,4.435,4.401
4.9184e-05,-2.19174,10.00000,0.7458790541,2.3982064753,0.745,0.013,3.8028,4.461,1,0.000,0.532,0.00,0.00,0.00,0.00,0.00,-1,-8.77e-14,0.00,8.520e-01,1.480e-01,1.144e-05,3.142e-06,2.869e-05,-1.000,1.642e-05,4.739,5.279,5.134,4.896,4.738,4.607,4.314,4.282
4.9184e-05,-2.19174,10.00000,0.7500000000,2.3998889087,0.750,0.035,3.8045,4.448,1,0.000,0.531,0.00,0.00,0.00,0.00,0.00,-1,-9.34e-14,0.00,8.536e-01,1.464e-01,1.136e-05,3.124e-06,2.853e-05,-1.000,1.490e-08,4.683,5.216,5.074,4.838,4.682,4.553,4.263,4.231
